username,repo_name,stars,repo_url
mrdoob,three.js,77700,https://github.com/mrdoob/three.js
libgdx,libgdx,77700,https://github.com/libgdx/libgdx
pmndrs,react-three-fiber,77700,https://github.com/pmndrs/react-three-fiber
BabylonJS,Babylon.js,77700,https://github.com/BabylonJS/Babylon.js
aframevr,aframe,77700,https://github.com/aframevr/aframe
ssloy,tinyrenderer,77700,https://github.com/ssloy/tinyrenderer
lettier,3d-game-shaders-for-beginners,77700,https://github.com/lettier/3d-game-shaders-for-beginners
FreeCAD,FreeCAD,77700,https://github.com/FreeCAD/FreeCAD
metafizzy,zdog,77700,https://github.com/metafizzy/zdog
CesiumGS,cesium,77700,https://github.com/CesiumGS/cesium
timzhang642,3D-Machine-Learning,77700,https://github.com/timzhang642/3D-Machine-Learning
a1studmuffin,SpaceshipGenerator,77700,https://github.com/a1studmuffin/SpaceshipGenerator
isl-org,Open3D,77700,https://github.com/isl-org/Open3D
spritejs,spritejs,77700,https://github.com/spritejs/spritejs
domlysz,BlenderGIS,77700,https://github.com/domlysz/BlenderGIS
tensorspace-team,tensorspace,77700,https://github.com/tensorspace-team/tensorspace
jagenjo,webglstudio.js,77700,https://github.com/jagenjo/webglstudio.js
openscad,openscad,77700,https://github.com/openscad/openscad
YadiraF,PRNet,77700,https://github.com/YadiraF/PRNet
blender,blender,77700,https://github.com/blender/blender
AaronJackson,vrn,77700,https://github.com/AaronJackson/vrn
ssloy,tinyraytracer,77700,https://github.com/ssloy/tinyraytracer
google,model-viewer,77700,https://github.com/google/model-viewer
mosra,magnum,77700,https://github.com/mosra/magnum
gfxfundamentals,webgl-fundamentals,77700,https://github.com/gfxfundamentals/webgl-fundamentals
FyroxEngine,Fyrox,77700,https://github.com/FyroxEngine/Fyrox
cleardusk,3DDFA,77700,https://github.com/cleardusk/3DDFA
jasonlong,isometric-contributions,77700,https://github.com/jasonlong/isometric-contributions
tengbao,vanta,77700,https://github.com/tengbao/vanta
cnr-isti-vclab,meshlab,77700,https://github.com/cnr-isti-vclab/meshlab
